age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan,score
48,1,7,1,42,0,0,0,0,1,99
36,3,11,2,30,0,0,0,0,1,82
25,0,9,1,29,0,0,0,0,1,64
58,0,4,0,0,0,0,0,0,1,62
67,1,6,1,34,0,0,0,0,1,109
72,2,8,2,33,0,0,0,0,1,117
18,4,12,0,47,0,0,0,0,1,81
80,1,7,0,18,0,0,0,0,1,106
57,2,8,0,4,0,0,0,0,1,71
42,0,0,0,0,0,0,0,0,1,42
33,5,11,1,12,0,0,0,0,1,62
30,4,4,1,15,0,0,0,0,1,54
74,1,10,2,40,0,0,0,0,1,127
28,5,10,1,42,0,0,0,0,1,86
52,0,1,1,42,0,0,0,0,1,96
90,2,5,0,32,0,0,0,0,1,129
87,0,1,0,49,0,0,0,0,1,137
68,2,12,2,19,0,0,0,0,1,103
70,1,3,2,14,0,0,0,0,1,90
81,1,3,1,35,0,0,0,0,1,121
49,3,5,1,11,0,0,0,0,1,69
45,4,5,0,36,0,0,0,0,1,90
73,0,4,1,24,0,0,0,0,1,102
76,1,8,1,23,0,0,0,0,1,109
42,2,12,1,26,0,0,0,0,1,83
80,2,10,2,39,0,0,0,0,1,133
62,3,9,2,34,0,0,0,0,1,110
64,3,10,1,15,0,0,0,0,1,93
22,1,12,0,32,0,0,0,0,1,67
32,2,10,1,36,0,0,0,0,1,81
56,1,9,1,28,0,0,0,0,1,95
65,0,9,0,12,0,0,0,0,1,86
82,1,1,0,14,0,0,0,0,1,98
49,4,9,1,39,0,0,0,0,1,102
73,2,10,1,29,0,0,0,0,1,115
28,5,10,0,21,0,0,0,0,1,64
84,2,2,1,27,0,0,0,0,1,116
81,1,2,2,2,0,0,0,0,1,88
86,2,6,2,40,0,0,0,0,1,136
20,5,12,1,16,0,0,0,0,1,54
36,2,11,0,24,0,0,0,0,1,73
66,0,2,2,32,0,0,0,0,1,102
82,0,7,1,24,0,0,0,0,1,114
63,0,9,0,30,0,0,0,0,1,102
41,2,11,2,41,0,0,0,0,1,97
53,0,1,0,29,0,0,0,0,1,83
79,2,11,0,33,0,0,0,0,1,125
46,2,6,0,17,0,0,0,0,1,71
74,1,8,2,18,0,0,0,0,1,103
89,0,10,1,41,0,0,0,0,1,141
56,0,0,1,24,0,0,0,0,1,81
82,1,11,0,11,0,0,0,0,1,105
48,4,12,1,40,0,0,0,0,1,105
19,0,5,2,40,0,0,0,0,1,66
29,5,11,2,36,0,0,0,0,1,83
62,1,6,1,17,0,0,0,0,1,87
67,3,4,1,2,0,0,0,0,1,77
20,5,6,2,22,0,0,0,0,1,55
60,2,11,2,44,0,0,0,0,1,119
38,1,12,1,43,0,0,0,0,1,95
91,2,11,1,31,0,0,0,0,1,136
70,0,9,0,38,0,0,0,0,1,117
63,3,5,1,7,0,0,0,0,1,79
78,2,12,2,41,0,0,0,0,1,135
20,3,4,0,30,0,0,0,0,1,57
18,3,12,2,49,0,0,0,0,1,84
21,3,3,0,31,0,0,0,0,1,58
84,0,1,0,38,0,0,0,0,1,123
65,2,12,2,42,0,0,0,0,1,123
88,2,9,0,34,0,0,0,0,1,133
86,0,5,1,3,0,0,0,0,1,95
69,0,0,1,14,0,0,0,0,1,84
24,0,10,0,31,0,0,0,0,1,65
36,0,4,2,18,0,0,0,0,1,60
35,5,8,1,19,0,0,0,0,1,68
69,0,9,1,2,0,0,0,0,1,81
79,2,11,2,47,0,0,0,0,1,141
18,4,7,0,49,0,0,0,0,1,78
29,5,5,2,12,0,0,0,0,1,53
89,1,9,0,19,0,0,0,0,1,118
35,1,7,2,7,0,0,0,0,1,52
83,0,7,1,41,0,0,0,0,1,132
39,3,12,0,43,0,0,0,0,1,97
74,2,2,1,23,0,0,0,0,1,102
48,3,11,2,45,0,0,0,0,1,109
68,3,12,0,30,0,0,0,0,1,113
90,1,4,2,40,0,0,0,0,1,137
49,2,9,0,29,0,0,0,0,1,89
27,1,8,0,38,0,0,0,0,1,74
35,4,5,0,15,0,0,0,0,1,59
72,1,10,0,6,0,0,0,0,1,89
60,2,9,2,50,0,0,0,0,1,123
18,2,6,0,8,0,0,0,0,1,34
86,2,9,2,43,0,0,0,0,1,142
30,2,4,2,40,0,0,0,0,1,78
66,0,0,0,42,0,0,0,0,1,108
30,1,8,2,40,0,0,0,0,1,81
59,3,12,0,1,0,0,0,0,1,75
32,0,7,1,18,0,0,0,0,1,58
47,3,4,2,10,0,0,0,0,1,66
42,4,4,0,13,0,0,0,0,1,63
30,4,4,0,25,0,0,0,0,1,63
18,2,10,1,25,0,0,0,0,1,56
37,1,5,2,25,0,0,0,0,1,70
91,2,8,0,38,0,0,0,0,1,139
50,2,2,2,12,0,0,0,0,1,68
91,2,11,1,6,0,0,0,0,1,111
53,1,10,1,15,0,0,0,0,1,80
61,1,8,2,46,0,0,0,0,1,118
80,2,9,1,13,0,0,0,0,1,105
46,5,7,0,42,0,0,0,0,1,100
52,3,5,1,17,0,0,0,0,1,78
75,2,5,0,22,0,0,0,0,1,104
69,1,1,2,33,0,0,0,0,1,106
62,3,11,1,5,0,0,0,0,1,82
18,3,8,1,49,0,0,0,0,1,79
78,1,12,2,5,0,0,0,0,1,98
72,2,3,2,42,0,0,0,0,1,121
37,4,7,2,40,0,0,0,0,1,90
22,2,12,1,18,0,0,0,0,1,55
20,2,10,2,37,0,0,0,0,1,71
50,3,7,1,27,0,0,0,0,1,88
22,2,2,1,7,0,0,0,0,1,34
29,2,6,0,12,0,0,0,0,1,49
25,4,7,1,35,0,0,0,0,1,72
37,4,5,1,48,0,0,0,0,1,95
37,3,10,0,2,0,0,0,0,1,52
40,0,6,2,22,0,0,0,0,1,70
85,2,6,1,42,0,0,0,0,1,136
46,2,12,1,23,0,0,0,0,1,84
65,2,10,2,42,0,0,0,0,1,121
68,1,2,0,29,0,0,0,0,1,100
64,0,0,2,3,0,0,0,0,1,69
39,1,12,0,14,0,0,0,0,1,66
72,3,12,2,18,0,0,0,0,1,107
80,2,5,1,9,0,0,0,0,1,97
38,1,12,0,33,0,0,0,0,1,84
74,0,5,1,8,0,0,0,0,1,88
59,3,3,2,12,0,0,0,0,1,79
82,0,9,0,24,0,0,0,0,1,115
75,0,1,1,0,0,0,0,0,1,77
54,3,11,2,49,0,0,0,0,1,119
38,2,11,1,44,0,0,0,0,1,96
18,4,5,1,5,0,0,0,0,1,33
53,2,10,2,43,0,0,0,0,1,110
58,2,9,1,18,0,0,0,0,1,88
65,3,4,1,4,0,0,0,0,1,77
33,0,0,1,10,0,0,0,0,1,44
86,2,4,1,32,0,0,0,0,1,125
90,0,4,1,22,0,0,0,0,1,117
79,1,7,1,33,0,0,0,0,1,121
72,2,10,1,48,0,0,0,0,1,133
33,4,6,1,49,0,0,0,0,1,93
85,0,11,0,13,0,0,0,0,1,109
83,0,6,1,21,0,0,0,0,1,111
78,2,3,0,26,0,0,0,0,1,109
30,0,3,0,9,0,0,0,0,1,42
61,0,11,2,7,0,0,0,0,1,81
80,1,1,0,45,0,0,0,0,1,127
43,3,7,1,48,0,0,0,0,1,102
91,2,8,2,48,0,0,0,0,1,151
77,0,10,0,0,0,0,0,0,1,87
83,0,10,1,46,0,0,0,0,1,140
81,0,11,1,15,0,0,0,0,1,108
90,2,9,0,38,0,0,0,0,1,139
46,3,10,2,34,0,0,0,0,1,95
51,3,5,2,34,0,0,0,0,1,95
64,2,9,1,23,0,0,0,0,1,99
78,1,7,0,20,0,0,0,0,1,106
36,0,10,0,47,0,0,0,0,1,93
89,2,8,1,26,0,0,0,0,1,126
70,0,1,0,6,0,0,0,0,1,77
58,3,5,1,42,0,0,0,0,1,109
64,2,5,1,30,0,0,0,0,1,102
63,3,8,2,7,0,0,0,0,1,83
56,0,9,1,6,0,0,0,0,1,72
91,0,0,1,44,0,0,0,0,1,136
38,3,7,1,5,0,0,0,0,1,54
90,1,10,2,36,0,0,0,0,1,139
44,0,11,0,23,0,0,0,0,1,78
90,1,8,2,10,0,0,0,0,1,111
67,3,6,1,24,0,0,0,0,1,101
41,0,5,0,22,0,0,0,0,1,68
89,2,6,2,29,0,0,0,0,1,128
67,1,5,1,9,0,0,0,0,1,83
86,0,7,0,43,0,0,0,0,1,136
78,0,7,2,31,0,0,0,0,1,118
40,2,3,0,11,0,0,0,0,1,56
29,3,12,2,43,0,0,0,0,1,89
19,0,4,0,38,0,0,0,0,1,61
54,3,10,0,20,0,0,0,0,1,87
51,0,3,0,5,0,0,0,0,1,59
23,0,7,0,16,0,0,0,0,1,46
23,5,11,1,42,0,0,0,0,1,82
39,4,7,1,3,0,0,0,0,1,54
60,1,11,0,14,0,0,0,0,1,86
47,1,3,2,9,0,0,0,0,1,62
81,0,9,1,25,0,0,0,0,1,116
38,3,11,2,48,0,0,0,0,1,102
43,0,11,0,50,0,0,0,0,1,104
68,2,4,2,22,0,0,0,0,1,98
46,1,6,2,43,0,0,0,0,1,98
89,1,10,0,32,0,0,0,0,1,132
59,0,0,2,35,0,0,0,0,1,96
43,4,7,1,18,0,0,0,0,1,73
70,2,4,0,9,0,0,0,0,1,85
65,2,7,0,5,0,0,0,0,1,79
62,3,6,2,3,0,0,0,0,1,76
81,0,6,1,34,0,0,0,0,1,122
44,1,2,2,19,0,0,0,0,1,68
47,5,11,1,0,0,0,0,0,1,64
75,2,6,2,45,0,0,0,0,1,130
18,1,12,0,6,0,0,0,0,1,37
82,1,11,0,20,0,0,0,0,1,114
26,0,8,1,28,0,0,0,0,1,63
41,1,3,2,34,0,0,0,0,1,81
23,3,9,0,45,0,0,0,0,1,80
56,3,11,0,32,0,0,0,0,1,102
25,1,7,0,25,0,0,0,0,1,58
74,2,8,2,46,0,0,0,0,1,132
91,0,1,1,44,0,0,0,0,1,137
49,0,3,0,24,0,0,0,0,1,76
81,1,10,2,47,0,0,0,0,1,141
34,2,9,1,6,0,0,0,0,1,52
81,0,4,1,19,0,0,0,0,1,105
40,3,6,1,32,0,0,0,0,1,82
69,2,2,1,31,0,0,0,0,1,105
72,1,3,1,38,0,0,0,0,1,115
65,1,2,1,1,0,0,0,0,1,70
46,0,4,2,13,0,0,0,0,1,65
44,0,2,1,19,0,0,0,0,1,66
22,1,2,0,22,0,0,0,0,1,47
32,0,9,2,22,0,0,0,0,1,65
83,1,8,2,48,0,0,0,0,1,142
76,0,5,0,48,0,0,0,0,1,129
72,0,4,0,1,0,0,0,0,1,77
40,1,9,0,21,0,0,0,0,1,71
66,1,10,0,17,0,0,0,0,1,94
34,2,3,1,19,0,0,0,0,1,59
57,0,2,0,20,0,0,0,0,1,79
80,0,2,2,19,0,0,0,0,1,103
80,0,11,2,28,0,0,0,0,1,121
31,2,2,1,39,0,0,0,0,1,75
82,0,11,0,3,0,0,0,0,1,96
76,0,12,2,30,0,0,0,0,1,120
23,1,4,2,46,0,0,0,0,1,76
20,4,4,2,45,0,0,0,0,1,75
88,0,10,1,33,0,0,0,0,1,132
18,2,4,1,35,0,0,0,0,1,60
28,3,3,0,26,0,0,0,0,1,60
53,2,2,1,14,0,0,0,0,1,72
81,0,4,2,37,0,0,0,0,1,124
43,0,6,2,47,0,0,0,0,1,98
24,0,7,1,37,0,0,0,0,1,69
66,1,6,1,32,0,0,0,0,1,106
55,3,6,2,29,0,0,0,0,1,95
79,1,8,0,1,0,0,0,0,1,89
49,3,7,2,21,0,0,0,0,1,82
88,1,5,0,3,0,0,0,0,1,97
37,0,6,1,4,0,0,0,0,1,48
21,4,7,2,4,0,0,0,0,1,38
59,1,7,2,43,0,0,0,0,1,112
48,4,10,1,39,0,0,0,0,1,102
51,1,10,0,26,0,0,0,0,1,88
89,1,2,0,7,0,0,0,0,1,99
47,2,8,2,18,0,0,0,0,1,77
39,4,10,1,0,0,0,0,0,1,54
23,4,11,2,50,0,0,0,0,1,90
58,2,8,1,38,0,0,0,0,1,107
37,3,5,0,46,0,0,0,0,1,91
37,0,5,2,30,0,0,0,0,1,74
22,5,8,0,19,0,0,0,0,1,54
74,1,4,2,9,0,0,0,0,1,90
38,3,4,0,49,0,0,0,0,1,94
54,2,5,1,22,0,0,0,0,1,84
29,4,9,2,16,0,0,0,0,1,60
32,5,10,1,19,0,0,0,0,1,67
80,2,3,2,3,0,0,0,0,1,90
69,2,11,0,25,0,0,0,0,1,107
84,1,12,1,2,0,0,0,0,1,100
74,2,8,0,44,0,0,0,0,1,128
90,0,1,1,17,0,0,0,0,1,109
38,0,1,2,2,0,0,0,0,1,43
52,3,10,1,11,0,0,0,0,1,77
40,3,12,0,28,0,0,0,0,1,83
61,1,5,1,13,0,0,0,0,1,81
80,0,4,2,33,0,0,0,0,1,119
35,2,11,1,46,0,0,0,0,1,95
62,2,9,0,29,0,0,0,0,1,102
82,1,2,0,38,0,0,0,0,1,123
50,2,11,1,50,0,0,0,0,1,114
59,3,9,2,28,0,0,0,0,1,101
58,2,9,1,13,0,0,0,0,1,83
87,1,6,0,18,0,0,0,0,1,112
52,0,10,1,46,0,0,0,0,1,109
83,2,2,0,16,0,0,0,0,1,103
48,4,7,1,49,0,0,0,0,1,109
60,0,1,1,42,0,0,0,0,1,104
67,2,6,1,9,0,0,0,0,1,85
89,0,1,0,12,0,0,0,0,1,102
86,0,10,0,1,0,0,0,0,1,97
19,0,7,2,13,0,0,0,0,1,41
49,1,4,0,19,0,0,0,0,1,73
40,3,6,1,30,0,0,0,0,1,80
80,2,11,1,17,0,0,0,0,1,111
84,2,11,0,29,0,0,0,0,1,126
64,3,12,1,44,0,0,0,0,1,124
80,0,9,0,41,0,0,0,0,1,130
90,0,9,0,16,0,0,0,0,1,115
59,2,3,2,32,0,0,0,0,1,98
40,5,11,0,11,0,0,0,0,1,67
59,0,9,0,18,0,0,0,0,1,86
49,4,7,0,43,0,0,0,0,1,103
55,0,3,1,6,0,0,0,0,1,65
46,2,11,2,18,0,0,0,0,1,79
43,2,3,2,36,0,0,0,0,1,86
30,4,8,1,48,0,0,0,0,1,91
52,3,7,0,43,0,0,0,0,1,105
36,0,5,2,17,0,0,0,0,1,60
46,1,1,1,38,0,0,0,0,1,87
60,2,8,1,36,0,0,0,0,1,107
20,2,3,1,39,0,0,0,0,1,65
74,2,7,0,18,0,0,0,0,1,101
58,3,8,0,33,0,0,0,0,1,102
34,5,7,1,6,0,0,0,0,1,53
60,3,4,0,15,0,0,0,0,1,82
28,5,6,0,11,0,0,0,0,1,50
65,1,8,0,14,0,0,0,0,1,88
52,3,3,2,18,0,0,0,0,1,78
42,2,3,1,44,0,0,0,0,1,92
90,1,1,0,12,0,0,0,0,1,104
70,0,4,1,41,0,0,0,0,1,116
45,4,10,2,41,0,0,0,0,1,102
43,3,8,2,9,0,0,0,0,1,65
67,3,11,0,2,0,0,0,0,1,83
30,3,3,0,39,0,0,0,0,1,75
24,5,7,1,3,0,0,0,0,1,40
49,3,9,1,30,0,0,0,0,1,92
73,3,7,1,36,0,0,0,0,1,120
86,1,5,1,46,0,0,0,0,1,139
60,1,6,0,0,0,0,0,0,1,67
27,0,11,2,14,0,0,0,0,1,54
49,2,3,0,27,0,0,0,0,1,81
90,0,12,2,34,0,0,0,0,1,138
83,2,8,1,49,0,0,0,0,1,143
65,1,9,2,24,0,0,0,0,1,101
88,0,9,0,47,0,0,0,0,1,144
78,1,7,1,9,0,0,0,0,1,96
39,1,9,2,43,0,0,0,0,1,94
76,2,2,0,17,0,0,0,0,1,97
85,1,11,0,33,0,0,0,0,1,130
55,1,6,2,20,0,0,0,0,1,84
54,3,5,1,31,0,0,0,0,1,94
72,3,12,1,44,0,0,0,0,1,132
52,2,5,1,21,0,0,0,0,1,81
47,4,8,1,36,0,0,0,0,1,96
69,3,5,1,36,0,0,0,0,1,114
54,0,6,2,12,0,0,0,0,1,74
91,1,11,2,50,0,0,0,0,1,155
68,2,6,2,37,0,0,0,0,1,115
69,3,12,1,20,0,0,0,0,1,105
72,3,5,0,23,0,0,0,0,1,103
66,2,10,1,12,0,0,0,0,1,91
41,4,10,1,26,0,0,0,0,1,82
21,1,10,1,36,0,0,0,0,1,69
68,0,2,0,35,0,0,0,0,1,105
43,5,11,2,50,0,0,0,0,1,111
37,1,7,0,35,0,0,0,0,1,80
26,2,4,0,28,0,0,0,0,1,60
43,0,9,1,0,0,0,0,0,1,53
66,1,11,2,1,0,0,0,0,1,81
83,2,12,1,9,0,0,0,0,1,107
53,3,11,2,42,0,0,0,0,1,111
40,0,0,0,38,0,0,0,0,1,78
88,0,8,0,14,0,0,0,0,1,110
88,1,10,1,10,0,0,0,0,1,110
85,1,1,1,4,0,0,0,0,1,92
78,2,4,0,13,0,0,0,0,1,97
54,0,4,0,26,0,0,0,0,1,84
25,5,7,0,50,0,0,0,0,1,87
44,4,10,2,20,0,0,0,0,1,80
48,2,9,0,27,0,0,0,0,1,86
32,0,8,2,44,0,0,0,0,1,86
88,2,10,2,11,0,0,0,0,1,113
49,2,6,1,24,0,0,0,0,1,82
75,0,8,1,11,0,0,0,0,1,95
38,1,8,1,23,0,0,0,0,1,71
51,2,6,0,50,0,0,0,0,1,109
19,4,8,2,34,0,0,0,0,1,67
36,0,11,2,22,0,0,0,0,1,71
69,0,2,2,19,0,0,0,0,1,92
64,2,10,0,38,0,0,0,0,1,114
20,1,8,1,7,0,0,0,0,1,37
70,3,12,1,2,0,0,0,0,1,88
23,4,6,2,41,0,0,0,0,1,76
43,1,4,0,18,0,0,0,0,1,66
83,2,10,0,4,0,0,0,0,1,99
43,0,5,2,13,0,0,0,0,1,63
68,3,5,1,17,0,0,0,0,1,94
65,1,3,0,41,0,0,0,0,1,110
56,3,3,2,50,0,0,0,0,1,114
49,2,2,0,49,0,0,0,0,1,102
90,1,3,0,25,0,0,0,0,1,119
30,4,4,0,13,0,0,0,0,1,51
26,3,6,1,21,0,0,0,0,1,57
35,4,9,1,31,0,0,0,0,1,80
64,3,11,1,26,0,0,0,0,1,105
81,2,12,2,22,0,0,0,0,1,119
63,3,4,2,38,0,0,0,0,1,110
63,3,10,1,7,0,0,0,0,1,84
51,1,9,1,18,0,0,0,0,1,80
81,1,7,1,3,0,0,0,0,1,93
43,1,10,2,7,0,0,0,0,1,63
41,3,9,0,0,0,0,0,0,1,53
32,2,4,2,1,0,0,0,0,1,41
72,1,3,0,16,0,0,0,0,1,92
39,4,10,2,14,0,0,0,0,1,69
37,4,5,2,11,0,0,0,0,1,59
36,0,1,2,26,0,0,0,0,1,65
44,1,2,2,11,0,0,0,0,1,60
89,0,8,1,17,0,0,0,0,1,115
24,0,1,1,9,0,0,0,0,1,35
42,2,5,2,48,0,0,0,0,1,99
72,3,5,1,21,0,0,0,0,1,102
40,3,5,1,44,0,0,0,0,1,93
28,3,7,2,34,0,0,0,0,1,74
77,0,9,0,35,0,0,0,0,1,121
44,2,12,0,28,0,0,0,0,1,86
38,2,8,0,12,0,0,0,0,1,60
81,1,5,0,29,0,0,0,0,1,116
37,1,8,2,25,0,0,0,0,1,73
90,1,11,1,40,0,0,0,0,1,143
70,1,9,1,44,0,0,0,0,1,125
52,1,12,2,19,0,0,0,0,1,86
25,5,7,2,8,0,0,0,0,1,47
68,0,3,0,15,0,0,0,0,1,86
91,2,5,2,21,0,0,0,0,1,121
66,2,5,1,45,0,0,0,0,1,119
69,1,5,1,42,0,0,0,0,1,118
38,4,6,0,29,0,0,0,0,1,77
76,0,8,1,23,0,0,0,0,1,108
24,3,11,1,33,0,0,0,0,1,72
45,2,9,1,3,0,0,0,0,1,60
61,1,10,0,21,0,0,0,0,1,93
72,1,8,2,13,0,0,0,0,1,96
37,0,12,0,13,0,0,0,0,1,62
20,3,12,0,8,0,0,0,0,1,43
31,3,11,2,15,0,0,0,0,1,62
59,1,1,2,4,0,0,0,0,1,67
74,2,3,1,7,0,0,0,0,1,87
41,1,8,1,4,0,0,0,0,1,55
78,0,10,2,12,0,0,0,0,1,102
48,0,1,1,43,0,0,0,0,1,93
39,1,1,2,32,0,0,0,0,1,75
50,3,6,0,43,0,0,0,0,1,102
56,1,9,1,22,0,0,0,0,1,89
48,2,9,1,22,0,0,0,0,1,82
67,2,10,1,20,0,0,0,0,1,100
46,3,12,1,30,0,0,0,0,1,92
88,0,9,0,30,0,0,0,0,1,127
40,1,9,2,41,0,0,0,0,1,93
48,5,6,1,9,0,0,0,0,1,69
38,0,8,2,48,0,0,0,0,1,96
34,5,12,0,38,0,0,0,0,1,89
67,3,4,2,39,0,0,0,0,1,115
57,3,12,1,33,0,0,0,0,1,106
83,1,8,0,7,0,0,0,0,1,99
85,1,11,2,45,0,0,0,0,1,144
86,0,0,2,3,0,0,0,0,1,91
58,3,8,0,5,0,0,0,0,1,74
84,2,12,0,19,0,0,0,0,1,117
25,3,7,1,0,0,0,0,0,1,36
41,2,7,0,29,0,0,0,0,1,79
69,0,6,1,16,0,0,0,0,1,92
82,0,12,2,40,0,0,0,0,1,136
76,2,8,2,40,0,0,0,0,1,128
88,1,1,1,42,0,0,0,0,1,133
53,0,1,2,35,0,0,0,0,1,91
29,3,7,0,49,0,0,0,0,1,88
55,1,1,1,7,0,0,0,0,1,65
67,2,9,1,24,0,0,0,0,1,103
37,5,8,2,50,0,0,0,0,1,102
39,1,10,2,23,0,0,0,0,1,75
34,3,10,0,39,0,0,0,0,1,86
55,0,12,1,40,0,0,0,0,1,108
61,3,7,2,13,0,0,0,0,1,86
83,2,4,0,7,0,0,0,0,1,96
41,3,12,0,10,0,0,0,0,1,66
49,1,4,2,24,0,0,0,0,1,80
55,1,7,2,11,0,0,0,0,1,76
63,1,3,1,17,0,0,0,0,1,85
60,2,3,2,37,0,0,0,0,1,104
58,0,6,2,25,0,0,0,0,1,91
32,1,6,2,47,0,0,0,0,1,88
85,2,2,1,0,0,0,0,0,1,90
69,1,3,2,24,0,0,0,0,1,99
49,1,4,2,1,0,0,0,0,1,57
51,2,8,0,49,0,0,0,0,1,110
45,3,10,0,5,0,0,0,0,1,63
53,0,2,1,42,0,0,0,0,1,98
23,1,9,1,49,0,0,0,0,1,83
34,1,6,1,19,0,0,0,0,1,61
79,2,11,2,15,0,0,0,0,1,109
18,0,7,1,3,0,0,0,0,1,29
60,0,12,2,2,0,0,0,0,1,76
